,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
39618,2630,2013-05-21 00:08:39,5,219,,,219,25564,4,4.5,1,4.16,0.0811,5.33,18,209.0,0,23904,2,3,2,0,1,1,,3.19,0,,,,1.0,0.0,14.0,,1.0,,,,,1.0,0.0,14.0,,,,,,,1.0,0.0,14.0,0,,0
955524,63790,2012-12-08 17:32:03,17,98,,,14,52081,4,0.0,0,3.09,0.0741,4.98,21,134.33,0,28399,2,1,2,0,1,0,,,1,,,,1.0,0.0,13.0,,,,1.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0,,0
4578306,307179,2013-03-13 06:03:25,5,219,,,219,69107,4,4.0,1,4.47,0.4682,5.69,26,179.0,0,4072,1,52,1,1,1,1,,97.96,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
214300,14408,2013-06-10 21:40:10,14,100,,,100,21362,4,4.0,1,3.89,0.1942,0.0,28,249.17,1,19898,3,53,2,0,1,1,,453.72,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4135779,277477,2013-03-20 15:23:53,32,220,,,99,40911,0,3.5,0,5.82,0.3816,5.59,35,198.24,0,19741,4,162,2,0,1,1,,10550.72,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4805235,322475,2013-06-02 14:37:24,14,100,,,219,48233,3,4.0,1,2.08,0.0232,5.16,1,189.88,0,26928,3,48,2,0,1,1,,2282.42,1,,,,-1.0,0.0,18.0,-1.0,0.0,18.0,,,,,1.0,,,,,,,,-1.0,0.0,18.0,0,,0
1615393,108556,2013-04-03 16:21:37,24,216,,,219,60846,4,4.5,1,4.13,0.2318,5.56,28,177.76,0,8192,5,217,1,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
769670,51481,2013-04-16 15:14:22,5,219,,,158,69473,5,4.5,1,2.48,0.1211,4.6,13,72.0,0,9392,14,61,2,0,1,0,,8861.8,1,,,,,,,0.0,0.0,,1.0,0.0,10.0,0.0,0.0,,,,,,,,,,,0,,0
3772364,253388,2013-05-15 14:17:54,5,100,,,31,87684,4,4.5,0,6.18,0.0364,5.63,26,191.0,1,23840,3,145,1,0,1,0,,5445.56,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4295922,288278,2013-06-24 20:39:16,5,219,,,219,23811,3,4.5,1,2.64,0.0321,0.0,19,100.0,0,4075,1,7,2,0,1,0,,962.35,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1197294,80032,2013-02-16 08:35:34,5,219,,,219,24743,3,3.5,1,1.95,0.0044,5.26,9,109.0,0,13216,1,0,1,2,1,1,,197.69,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3648944,245127,2013-01-30 15:48:33,12,99,,,31,757,4,4.5,0,1.39,0.0017,5.48,32,199.43,1,6785,2,73,2,0,1,1,,,0,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,72.0,1.0,0.0,11.0,,,,0,,0
1505405,100960,2013-04-26 06:49:11,14,100,,,219,66770,4,4.0,1,2.4,0.0965,5.53,6,185.9,0,7243,3,21,2,2,1,1,,341.71,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3643369,244763,2013-02-06 16:19:36,5,219,,,219,19428,0,4.5,0,1.1,,5.04,37,99.0,0,15066,2,1,2,0,1,1,,,0,,,,1.0,0.0,12.0,,,,,,,,,,,,,,,,,,,0,,0
2686541,180305,2013-04-09 13:03:37,5,219,,,219,32788,4,4.5,1,4.2,0.0429,6.04,22,279.0,0,13216,1,4,2,0,1,1,,206.81,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0
3047041,204621,2013-02-09 12:49:55,24,216,,,99,43251,4,4.5,1,6.08,0.3058,6.21,20,387.27,0,23431,4,8,2,0,1,0,,,0,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,18.0,0.0,0.0,,,,,0,,0
2734432,183541,2013-06-25 13:30:33,5,219,,,219,123660,4,4.0,1,1.39,0.0733,0.0,21,110.0,0,280,1,0,1,0,1,0,,414.54,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
742962,49717,2013-01-28 21:57:14,5,219,,,219,132435,4,4.0,1,3.87,0.2129,5.14,10,117.0,0,7434,1,18,2,0,1,1,,0.03,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2135006,143245,2013-02-07 18:26:41,15,55,3.61,106.36,132,66739,4,4.5,1,0.0,,4.93,15,153.99,0,21858,5,3,1,0,1,0,,,0,,,,,,,,,,,,,1.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,6.0,,,,0,,0
1982214,133063,2013-06-21 17:56:09,15,55,,,4,53730,4,4.5,0,1.39,,0.0,28,203.52,0,21769,1,47,2,0,1,0,-28.1885,,0,,,,,,,,,,,,,-1.0,0.0,35.0,,,,-1.0,0.0,35.0,,,,0,,0
255396,17091,2012-12-30 08:28:45,24,216,,,219,121665,3,4.0,1,4.17,0.1121,5.39,32,169.33,0,20319,3,195,2,2,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,548.49,1
2009388,134817,2013-04-26 11:29:15,3,39,,,14,90249,3,3.5,0,2.3,0.0155,4.09,31,45.95,0,11842,1,19,2,0,1,0,,,1,,,,,,,,,,1.0,0.0,17.0,1.0,0.0,7.0,,,,,,,,,,0,,0
3779209,253835,2013-02-19 12:39:02,5,219,,,219,129083,2,3.0,1,1.39,,4.43,37,69.0,1,11776,2,8,2,0,1,0,,1832.48,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,1.0,,0,,0
4611519,309419,2013-05-21 13:45:58,5,219,,,219,121081,3,4.0,1,2.3,0.0507,5.19,16,149.0,0,16794,2,10,2,0,1,1,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3333862,223868,2013-02-24 17:36:19,28,206,,,22,102067,2,0.0,0,1.1,,5.53,31,25.05,0,3586,5,8,2,0,1,0,-32.433,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,,0
1901341,127686,2013-06-16 21:21:36,24,216,,,31,57849,3,4.0,0,4.56,0.3144,0.0,16,101.43,0,14358,3,105,1,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2162097,145140,2013-04-02 19:18:18,18,129,,,129,12769,3,3.5,0,4.06,0.0616,4.8,22,114.09,0,8703,3,17,2,1,1,1,,203.02,0,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0,,0
1215169,81282,2013-03-30 06:54:28,5,219,,,219,4418,2,3.5,1,2.71,,4.1,27,90.0,0,17628,1,0,1,0,1,1,,267.2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1649959,110818,2013-03-27 08:08:16,5,219,,,219,7156,3,4.0,1,2.56,0.0615,4.84,9,104.0,1,20268,1,45,2,0,1,1,,650.96,0,,,,1.0,0.0,12.0,,,,,,,1.0,0.0,25.0,,,,,,,1.0,0.0,6.0,0,,0
4368055,293077,2013-02-20 17:17:34,5,219,,,219,6982,4,4.5,1,3.58,0.1289,5.22,7,179.0,0,13202,5,1,4,0,2,0,,2.6,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
2667500,178991,2013-05-26 11:00:06,15,55,,,55,67093,3,3.0,1,1.61,,4.21,16,75.62,0,20982,1,3,1,0,1,0,,,0,,,,,,,,,,,,,-1.0,0.0,10.0,,,,,,,,,,0,,0
1963898,131879,2013-05-22 00:30:43,15,55,,,55,20220,4,4.0,1,0.69,0.0284,4.94,14,207.71,0,12283,3,1,2,0,1,1,,,0,,,,,,,,,,,,,-1.0,0.0,22.0,,,,,,,,,,0,,0
1328472,88994,2013-03-09 12:47:25,5,219,,,219,51442,3,4.0,1,1.79,,4.95,33,100.0,0,4252,1,0,2,0,1,1,,56.18,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
2581238,173328,2013-04-22 13:18:59,24,216,,,216,107808,3,3.0,0,1.1,0.0075,4.45,14,69.81,0,7543,1,5,1,0,1,1,,,0,,,,,,,,,,,1.0,,,,,,,,,,,,,,0,,0
4009069,269012,2013-06-27 23:23:12,5,219,,,219,44170,4,4.5,1,3.89,0.0469,0.0,1,314.0,1,23904,1,7,4,0,1,1,,85.75,0,,,,-1.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,-1.0,0.0,6.0,0,,0
4771383,320120,2013-05-01 07:29:10,5,219,,,219,72492,5,5.0,0,4.04,,6.21,14,745.0,0,7318,2,150,2,0,1,1,,859.42,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4456819,299051,2012-12-17 20:19:49,5,219,,,219,75059,3,3.5,0,2.56,0.1564,4.41,4,73.0,0,20583,3,32,1,0,1,1,,700.08,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1036287,69219,2012-12-22 11:13:58,5,219,,,219,58240,2,3.5,1,2.08,,4.89,26,122.0,0,14917,3,4,4,0,1,0,,325.31,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4604618,308913,2013-04-18 12:40:17,14,100,,,100,135967,3,4.0,1,2.3,0.1422,4.87,6,114.96,0,21995,1,97,2,0,1,0,,468.26,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1963937,131884,2013-06-07 12:30:17,5,219,,,219,22013,3,3.5,0,3.43,0.1124,0.0,26,119.0,0,20836,5,30,2,0,1,0,,,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
4860084,326164,2013-03-13 21:15:13,5,219,,,219,91359,2,3.0,1,1.1,0.0177,4.53,28,95.0,0,23904,3,79,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3810665,255849,2013-03-05 14:12:41,5,136,4.33,239.39,55,137989,5,5.0,1,5.64,0.2355,6.21,6,403.0,0,14177,1,20,2,1,1,0,,,0,,,,,,,,,,,,,1.0,0.0,39.0,1.0,0.0,26.0,1.0,0.0,26.0,,,,0,,0
454496,30437,2013-04-21 22:24:05,5,219,,,219,93974,4,4.5,1,5.17,0.8597,5.67,13,275.0,1,25556,4,45,2,2,1,0,,1765.22,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1399147,93771,2013-04-16 20:21:09,31,219,,,219,103423,3,4.5,1,2.89,,5.05,30,120.0,0,8724,1,2,2,0,1,1,,196.84,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0
1341889,89900,2013-03-15 07:29:46,14,219,,,100,70676,3,4.0,1,3.56,0.0244,5.14,22,106.93,0,20438,1,13,2,0,1,1,,898.35,0,,,,,,,,,,,,,-1.0,0.0,5.0,,,,,,,-1.0,0.0,5.0,0,,0
1057144,70601,2013-05-14 19:43:28,5,219,,,219,106417,3,4.0,1,1.61,,4.91,35,119.0,0,10758,6,43,3,0,1,0,,,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4808656,322683,2013-04-22 19:32:59,5,219,,,219,43157,3,4.5,1,3.61,0.0077,5.3,35,149.0,0,15811,2,54,2,2,1,1,,233.69,0,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,21.0,,,,,,,0.0,0.0,,0,,0
1478789,99162,2013-03-25 19:52:08,5,219,,,219,130102,4,4.0,1,1.95,0.9014,5.77,7,169.0,0,20853,3,3,2,0,1,1,,1332.27,1,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,,0
4515010,302841,2013-03-07 08:50:56,18,129,,,99,49124,4,4.0,1,3.4,0.0044,5.23,25,140.24,0,13292,2,1,1,1,1,1,,545.11,0,,,,,,,,-1.0,,,,,0.0,0.0,,1.0,0.0,2.0,1.0,0.0,2.0,,-1.0,,0,,0
3714356,249419,2013-01-21 18:40:41,5,219,,,219,41573,2,4.0,1,1.39,0.0208,4.4,14,173.0,0,19994,1,25,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1345103,90108,2013-05-30 13:28:30,5,219,,,219,61069,3,4.5,1,3.47,0.016,4.88,35,209.0,0,7473,4,210,2,2,1,1,,414.15,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
596303,39804,2012-11-20 15:58:34,5,219,,,219,62672,2,3.0,1,3.43,0.1621,4.51,13,50.0,0,25682,1,3,2,0,1,1,,139.91,1,,,,,,,-1.0,0.0,10.0,,,,-1.0,0.0,10.0,,,,,,,-1.0,0.0,10.0,0,,0
222914,14963,2013-05-25 12:10:30,14,100,,,100,19855,3,4.5,1,1.79,0.0045,4.97,35,86.26,0,7306,1,119,3,0,1,1,,933.54,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
283056,18969,2013-06-13 07:47:14,5,219,,,219,31135,4,4.0,1,2.08,,0.0,18,150.0,0,7624,2,183,2,0,1,1,,184.87,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2306390,154876,2013-06-24 14:29:25,23,181,,,181,73512,4,4.5,0,4.36,0.0214,0.0,22,338.55,0,12907,1,2,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1057493,70636,2013-04-14 14:39:43,5,219,,,219,3213,3,3.5,0,5.67,0.4287,5.9,3,237.0,1,24700,2,104,2,2,1,1,,2142.29,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3360221,225753,2013-01-07 12:23:28,15,14,,,81,37604,5,4.5,1,0.0,0.11599999999999999,6.12,1,17967.77,0,19435,3,0,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,948.01,1
3181891,213670,2013-05-03 13:54:29,5,219,,,219,124590,3,3.0,1,1.95,0.0021,4.39,33,77.0,0,26458,1,22,2,0,1,1,,2078.54,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
2726828,183045,2013-02-07 19:17:46,5,219,,,224,82692,3,0.0,0,4.66,0.10300000000000001,4.02,25,37.0,1,24042,6,73,6,0,3,0,,7814.18,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4437292,297761,2012-12-12 10:41:37,5,219,,,219,101543,4,4.5,1,1.1,0.0905,5.28,9,152.0,0,305,1,5,1,0,1,0,,22.72,0,,,,,,,0.0,0.0,14.0,,,,1.0,0.0,17.0,,,,,,,0.0,0.0,,0,,0
4117298,276238,2013-04-12 08:18:02,5,219,,,219,72189,2,3.5,1,3.47,0.1075,4.84,33,145.0,0,26067,1,1,2,0,1,1,,351.3,0,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,20.0,,,,,,,0.0,0.0,,0,,0
765547,51165,2013-06-19 22:51:54,15,55,,,55,106126,2,4.0,0,3.5,0.0024,0.0,29,26.32,0,10979,1,0,1,0,1,0,,,1,,,,,,,,,,,,,,-1.0,,,,,,,,,-1.0,,1,,0
2950691,198175,2012-12-19 07:12:56,5,219,,,219,39836,3,4.5,1,0.0,,5.3,21,139.0,0,12443,1,12,2,2,1,0,,7.95,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
1343626,90018,2012-12-26 22:15:57,5,219,,,219,84510,3,4.5,1,0.69,0.6546,5.28,2,99.0,1,2877,2,4,2,0,1,0,-21.771,1223.01,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4666273,313048,2013-03-23 06:41:47,5,219,,,219,8754,2,3.5,0,3.09,0.1297,4.42,13,70.0,0,17738,1,47,2,0,1,1,,425.32,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1207414,80738,2013-03-26 07:59:23,5,219,,,219,820,3,3.0,1,2.56,0.0057,4.04,8,35.0,1,8347,4,119,2,1,1,0,,935.76,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4150696,278479,2013-01-06 11:25:36,5,219,,,219,334,3,4.5,1,1.1,0.0017,4.99,12,110.0,1,7434,2,11,1,1,2,1,,2232.28,1,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3476786,233443,2013-04-22 11:43:06,16,99,,,97,53609,4,0.0,0,1.39,,6.1,7,181.63,0,21018,7,40,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2552918,171392,2012-11-02 06:22:42,5,219,,,219,4983,3,4.5,1,2.3,0.0519,4.92,32,149.0,0,3821,3,10,1,0,1,0,,2096.65,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2349843,157783,2013-02-20 09:59:10,14,219,,,219,7937,2,3.0,1,1.39,0.0101,4.4,18,52.13,0,26602,5,18,6,0,4,0,,1714.41,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1273327,85264,2012-12-14 13:30:21,5,219,,,35,120747,5,4.0,1,1.95,0.018000000000000002,5.71,20,170.0,0,21207,1,11,1,0,1,0,,2745.83,0,,,,0.0,0.0,,-1.0,0.0,16.0,,,,,,,,,,,,,,,,0,,0
534030,35677,2013-06-13 18:39:01,5,219,,,219,59782,4,4.5,1,4.91,0.4255,0.0,6,139.0,0,4045,2,1,4,0,2,1,,413.56,0,,,,-1.0,0.0,12.0,0.0,0.0,5.0,,,,-1.0,0.0,12.0,,,,,,,-1.0,0.0,12.0,0,,0
607781,40593,2013-04-06 20:49:57,5,219,,,41,11650,4,2.0,0,3.99,0.3538,4.61,7,82.0,0,21764,2,6,1,0,1,1,,6982.83,0,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,14.0,1.0,0.0,14.0,,,,0,,0
4391447,294658,2013-06-06 20:53:17,5,219,,,219,65584,3,4.0,1,1.79,,0.0,30,126.0,0,22616,2,9,2,0,1,1,,282.17,1,,,,0.0,0.0,5.0,1.0,0.0,3.0,,,,,,,,,,,,,0.0,0.0,5.0,0,,0
